Trump,Clinton,end_date
42,47,2016-10-02
45,51,2016-10-02
44,50,2016-10-02
40,46,2016-10-02
49,47,2016-10-02
37,45,2016-10-01
49,48,2016-10-01
36,46,2016-09-30
49,48,2016-09-30
35,45,2016-09-29
42,43,2016-09-29
40,43,2016-09-29
44,49,2016-09-29
49,47,2016-09-29
40,44,2016-09-28
45,49,2016-09-28
38,42,2016-09-28
37,42,2016-09-28
41,42,2016-09-28
49,47,2016-09-28
39,44,2016-09-27
42,47,2016-09-27
41,45,2016-09-27
38,41,2016-09-27
38,43,2016-09-27
48,48,2016-09-27
41,49,2016-09-27
39,43,2016-09-26
38,44,2016-09-26
38,42,2016-09-26
48,47,2016-09-26
39,42,2016-09-25
43,43,2016-09-25
42,46,2016-09-25
46,49,2016-09-25
43,44,2016-09-25
46,47,2016-09-25
44,51,2016-09-25
40,45,2016-09-25
47,48,2016-09-25
42,44,2016-09-24
39,38,2016-09-24
46,46,2016-09-24
43,41,2016-09-24
46,49,2016-09-24
47,48,2016-09-23
44,46,2016-09-22
47,49,2016-09-22
43,45,2016-09-22
46,49,2016-09-22
44,39,2016-09-21
46,49,2016-09-21
41,48,2016-09-20
39,45,2016-09-20
47,48,2016-09-20
37,43,2016-09-19
41,48,2016-09-19
39,45,2016-09-19
44,50,2016-09-19
39,39,2016-09-19
39,37,2016-09-19
47,49,2016-09-19
47,48,2016-09-18
45,50,2016-09-18
40,45,2016-09-18
48,47,2016-09-17
42,46,2016-09-16
40,42,2016-09-16
41,46,2016-09-16
47,47,2016-09-16
48,47,2016-09-15
40,41,2016-09-14
46,45,2016-09-14
48,47,2016-09-14
42,40,2016-09-13
44,46,2016-09-13
42,42,2016-09-13
43,48,2016-09-13
39,41,2016-09-13
48,47,2016-09-13
39,40,2016-09-12
39,39,2016-09-12
49,46,2016-09-12
49,46,2016-09-11
49,45,2016-09-10
49,46,2016-09-09
43,44,2016-09-08
39,41,2016-09-08
41,46,2016-09-08
43,51,2016-09-08
48,46,2016-09-08
39,43,2016-09-07
48,47,2016-09-07
47,47,2016-09-06
38,40,2016-09-05
38,40,2016-09-05
46,48,2016-09-05
45,43,2016-09-04
49,48,2016-09-04
41,44,2016-09-04
47,49,2016-09-04
46,49,2016-09-03
45,49,2016-09-02
40,42,2016-09-01
45,49,2016-09-01
43,44,2016-09-01
39,39,2016-09-01
46,48,2016-08-31
40,39,2016-08-30
46,49,2016-08-30
39,40,2016-08-29
38,40,2016-08-29
41,48,2016-08-29
35,42,2016-08-29
47,50,2016-08-29
37,42,2016-08-28
43,48,2016-08-28
39,46,2016-08-28
42,49,2016-08-28
47,50,2016-08-28
47,50,2016-08-27
38,42,2016-08-24
35,42,2016-08-24
36,39,2016-08-24
49,48,2016-08-24
41,51,2016-08-24
38,45,2016-08-24
48,48,2016-08-23
47,48,2016-08-22
47,48,2016-08-21
48,48,2016-08-20
36,41,2016-08-17
35,39,2016-08-17
46,50,2016-08-17
39,41,2016-08-16
44,51,2016-08-16
40,50,2016-08-15
37,45,2016-08-15
44,51,2016-08-15
45,51,2016-08-14
36,38,2016-08-13
46,49,2016-08-13
40,43,2016-08-10
36,42,2016-08-10
35,40,2016-08-10
45,50,2016-08-10
46,48,2016-08-09
40,44,2016-08-08
44,50,2016-08-08
45,49,2016-08-08
37,50,2016-08-07
44,49,2016-08-07
43,50,2016-08-06
44,51,2016-08-04
39,47,2016-08-04
44,50,2016-08-04
39,43,2016-08-03
38,42,2016-08-03
44,50,2016-08-03
40,44,2016-08-02
46,49,2016-08-02
40,45,2016-08-01
46,49,2016-07-31
41,46,2016-07-30
45,50,2016-07-30
31,46,2016-07-29
35,40,2016-07-29
37,37,2016-07-29
42,43,2016-07-27
44,41,2016-07-24
34,39,2016-07-22
43,42,2016-07-19
40,43,2016-07-18
43,50,2016-07-18
41,44,2016-07-16
44,37,2016-07-13
29,41,2016-07-09
40,38,2016-07-05
42,40,2016-07-05
36,40,2016-07-05
43,39,2016-06-29
40,46,2016-06-29
35,39,2016-06-29
41,45,2016-06-28
44,48,2016-06-28
37,48,2016-06-28
39,44,2016-06-21
39,44,2016-06-15
37,49,2016-06-13
36,54,2016-06-13
38,42,2016-06-07
38,39,2016-06-01
39,40,2016-05-24
42,44,2016-05-19
42,37,2016-05-18
42,46,2016-05-16
38,42,2016-05-09
41,47,2016-05-09
41,39,2016-04-28
38,38,2016-04-26
39,50,2016-04-24
40,47,2016-04-20
43,46,2016-04-20
41,48,2016-03-26
40,53,2016-03-24
41,48,2016-03-23
36,54,2016-03-22
36,41,2016-03-01
45,43,2016-02-15
40,47,2016-02-03
45,45,2016-01-20
36,37,2015-12-23
43,46,2015-12-17
44,47,2015-12-06
37,51,2015-12-03
44,45,2015-11-17
37,41,2015-10-31
38,47,2015-10-22
44,44,2015-10-04
47,43,2015-09-08
44,46,2015-08-30
40,49,2015-07-28
37,50,2015-07-21
34,51,2015-07-12
